Latitude (decimal degrees):	50.943
Longitude (decimal degrees):	6.972
Radiation database:	PVGIS-SARAH2

Results for:	December
Slope of plane (deg.):	90
Azimuth (orientation) of plane (deg.):	0
time(UTC+1)		G(i)		Gb(i)		Gd(i)		T2m
00:00		0.0		0.0		0.0		5.02
01:00		0.0		0.0		0.0		4.9
02:00		0.0		0.0		0.0		4.84
03:00		0.0		0.0		0.0		4.86
04:00		0.0		0.0		0.0		4.83
05:00		0.0		0.0		0.0		4.79
06:00		0.0		0.0		0.0		4.85
07:00		0.0		0.0		0.0		4.86
08:00		0.0		0.0		0.0		4.98
09:00		86.95		63.03		21.18		5.29
10:00		181.93		119.64		54.34		5.76
11:00		232.02		150.51		69.99		6.43
12:00		266.68		174.39		78.76		7.24
13:00		264.02		172.45		78.46		7.66
14:00		215.14		139.7		65.22		7.86
15:00		156.75		105.85		45.0		7.48
16:00		0.45		0.0		0.37		7.07
17:00		0.0		0.0		0.0		6.5
18:00		0.0		0.0		0.0		5.79
19:00		0.0		0.0		0.0		5.52
20:00		0.0		0.0		0.0		5.37
21:00		0.0		0.0		0.0		5.17
22:00		0.0		0.0		0.0		5.07
23:00		0.0		0.0		0.0		4.98

G(i):  Global irradiance on a fixed plane (W/m2)
Gb(i): Direct irradiance on a fixed plane (W/m2)
Gd(i): Diffuse irradiance on a fixed plane (W/m2)
T2m: 2-m air temperature (degree Celsius)

PVGIS (c) European Union, 2001-2023
