Latitude (decimal degrees):	50.940
Longitude (decimal degrees):	6.956
Radiation database:	PVGIS-SARAH2

Results for:	March
Slope of plane (deg.):	90
Azimuth (orientation) of plane (deg.):	-90
time(UTC+1)		G(i)		Gb(i)		Gd(i)
00:00		0.0		0.0		0.0
01:00		0.0		0.0		0.0
02:00		0.0		0.0		0.0
03:00		0.0		0.0		0.0
04:00		0.0		0.0		0.0
05:00		0.0		0.0		0.0
06:00		0.0		0.0		0.0
07:00		92.23		68.15		21.83
08:00		279.89		192.01		76.34
09:00		339.75		216.49		101.45
10:00		313.49		177.97		106.22
11:00		253.53		117.54		101.41
12:00		172.97		41.91		92.9
13:00		79.73		0.0		62.24
14:00		75.67		0.0		59.07
15:00		67.6		0.0		52.77
16:00		50.6		0.0		39.5
17:00		32.05		0.0		25.02
18:00		7.17		0.0		5.6
19:00		0.0		0.0		0.0
20:00		0.0		0.0		0.0
21:00		0.0		0.0		0.0
22:00		0.0		0.0		0.0
23:00		0.0		0.0		0.0

G(i):  Global irradiance on a fixed plane (W/m2)
Gb(i): Direct irradiance on a fixed plane (W/m2)
Gd(i): Diffuse irradiance on a fixed plane (W/m2)

PVGIS (c) European Union, 2001-2023
