Latitude (decimal degrees):	50.940
Longitude (decimal degrees):	6.956
Radiation database:	PVGIS-SARAH2

Results for:	April
Slope of plane (deg.):	90
Azimuth (orientation) of plane (deg.):	-90
time(UTC+1)		G(i)		Gb(i)		Gd(i)
00:00		0.0		0.0		0.0
01:00		0.0		0.0		0.0
02:00		0.0		0.0		0.0
03:00		0.0		0.0		0.0
04:00		0.0		0.0		0.0
05:00		0.0		0.0		0.0
06:00		88.8		63.4		22.88
07:00		305.49		208.06		84.92
08:00		411.27		267.72		118.99
09:00		436.94		266.58		134.53
10:00		396.77		215.08		136.89
11:00		308.13		129.5		128.82
12:00		204.75		35.93		115.64
13:00		106.03		0.0		82.77
14:00		103.15		0.0		80.53
15:00		90.4		0.0		70.58
16:00		75.23		0.0		58.74
17:00		53.39		0.0		41.68
18:00		28.67		0.0		22.38
19:00		3.18		0.0		2.48
20:00		0.0		0.0		0.0
21:00		0.0		0.0		0.0
22:00		0.0		0.0		0.0
23:00		0.0		0.0		0.0

G(i):  Global irradiance on a fixed plane (W/m2)
Gb(i): Direct irradiance on a fixed plane (W/m2)
Gd(i): Diffuse irradiance on a fixed plane (W/m2)

PVGIS (c) European Union, 2001-2024
