Latitude (decimal degrees):	50.940
Longitude (decimal degrees):	6.956
Radiation database:	PVGIS-SARAH2

Results for:	June
Slope of plane (deg.):	90
Azimuth (orientation) of plane (deg.):	-90
time(UTC+1)		G(i)		Gb(i)		Gd(i)
00:00		0.0		0.0		0.0
01:00		0.0		0.0		0.0
02:00		0.0		0.0		0.0
03:00		0.0		0.0		0.0
04:00		0.0		0.0		0.0
05:00		76.15		50.12		23.27
06:00		230.36		149.24		70.17
07:00		351.36		223.02		106.63
08:00		433.39		264.55		134.67
09:00		439.25		248.87		145.79
10:00		399.83		198.12		148.69
11:00		313.63		113.16		143.98
12:00		221.97		28.55		136.05
13:00		126.35		0.0		98.64
14:00		120.5		0.0		94.08
15:00		111.08		0.0		86.72
16:00		92.44		0.0		72.17
17:00		75.8		0.0		59.17
18:00		52.93		0.0		41.32
19:00		29.12		0.0		22.73
20:00		6.7		0.0		5.23
21:00		0.0		0.0		0.0
22:00		0.0		0.0		0.0
23:00		0.0		0.0		0.0

G(i):  Global irradiance on a fixed plane (W/m2)
Gb(i): Direct irradiance on a fixed plane (W/m2)
Gd(i): Diffuse irradiance on a fixed plane (W/m2)

PVGIS (c) European Union, 2001-2024
