Latitude (decimal degrees):	50.940
Longitude (decimal degrees):	6.956
Radiation database:	PVGIS-SARAH2

Results for:	September
Slope of plane (deg.):	90
Azimuth (orientation) of plane (deg.):	-90
time(UTC+1)		G(i)		Gb(i)		Gd(i)
00:00		0.0		0.0		0.0
01:00		0.0		0.0		0.0
02:00		0.0		0.0		0.0
03:00		0.0		0.0		0.0
04:00		0.0		0.0		0.0
05:00		0.0		0.0		0.0
06:00		2.74		1.73		0.86
07:00		237.84		164.98		65.07
08:00		358.83		237.58		102.67
09:00		407.58		255.22		122.34
10:00		356.12		197.55		121.0
11:00		268.6		110.92		115.7
12:00		170.07		22.2		104.73
13:00		95.17		0.0		74.3
14:00		87.15		0.0		68.04
15:00		71.59		0.0		55.89
16:00		61.12		0.0		47.72
17:00		37.87		0.0		29.57
18:00		11.79		0.0		9.2
19:00		0.01		0.0		0.0
20:00		0.0		0.0		0.0
21:00		0.0		0.0		0.0
22:00		0.0		0.0		0.0
23:00		0.0		0.0		0.0

G(i):  Global irradiance on a fixed plane (W/m2)
Gb(i): Direct irradiance on a fixed plane (W/m2)
Gd(i): Diffuse irradiance on a fixed plane (W/m2)

PVGIS (c) European Union, 2001-2023
