Latitude (decimal degrees):	50.940
Longitude (decimal degrees):	6.956
Radiation database:	PVGIS-SARAH2

Results for:	March
Slope of plane (deg.):	90
Azimuth (orientation) of plane (deg.):	180
time(UTC+1)		G(i)		Gb(i)		Gd(i)
00:00		0.0		0.0		0.0
01:00		0.0		0.0		0.0
02:00		0.0		0.0		0.0
03:00		0.0		0.0		0.0
04:00		0.0		0.0		0.0
05:00		0.0		0.0		0.0
06:00		0.0		0.0		0.0
07:00		6.74		0.0		5.26
08:00		30.78		0.0		24.03
09:00		53.29		0.0		41.61
10:00		68.65		0.0		53.6
11:00		77.77		0.0		60.72
12:00		84.13		0.0		65.68
13:00		79.73		0.0		62.24
14:00		75.67		0.0		59.07
15:00		67.6		0.0		52.77
16:00		50.6		0.0		39.5
17:00		32.05		0.0		25.02
18:00		7.17		0.0		5.6
19:00		0.0		0.0		0.0
20:00		0.0		0.0		0.0
21:00		0.0		0.0		0.0
22:00		0.0		0.0		0.0
23:00		0.0		0.0		0.0

G(i):  Global irradiance on a fixed plane (W/m2)
Gb(i): Direct irradiance on a fixed plane (W/m2)
Gd(i): Diffuse irradiance on a fixed plane (W/m2)

PVGIS (c) European Union, 2001-2024
