Latitude (decimal degrees):	50.940
Longitude (decimal degrees):	6.956
Radiation database:	PVGIS-SARAH2

Results for:	April
Slope of plane (deg.):	90
Azimuth (orientation) of plane (deg.):	180
time(UTC+1)		G(i)		Gb(i)		Gd(i)
00:00		0.0		0.0		0.0
01:00		0.0		0.0		0.0
02:00		0.0		0.0		0.0
03:00		0.0		0.0		0.0
04:00		0.0		0.0		0.0
05:00		0.0		0.0		0.0
06:00		28.56		14.17		11.88
07:00		44.33		2.49		31.26
08:00		58.37		0.0		45.57
09:00		78.51		0.0		61.3
10:00		94.07		0.0		73.44
11:00		103.92		0.0		81.13
12:00		109.4		0.0		85.41
13:00		106.03		0.0		82.77
14:00		103.15		0.0		80.53
15:00		90.4		0.0		70.58
16:00		75.23		0.0		58.74
17:00		53.39		0.0		41.68
18:00		44.64		6.14		29.27
19:00		13.23		7.57		4.76
20:00		0.0		0.0		0.0
21:00		0.0		0.0		0.0
22:00		0.0		0.0		0.0
23:00		0.0		0.0		0.0

G(i):  Global irradiance on a fixed plane (W/m2)
Gb(i): Direct irradiance on a fixed plane (W/m2)
Gd(i): Diffuse irradiance on a fixed plane (W/m2)

PVGIS (c) European Union, 2001-2024
