Latitude (decimal degrees):	50.940
Longitude (decimal degrees):	6.956
Radiation database:	PVGIS-SARAH2

Results for:	September
Slope of plane (deg.):	90
Azimuth (orientation) of plane (deg.):	180
time(UTC+1)		G(i)		Gb(i)		Gd(i)
00:00		0.0		0.0		0.0
01:00		0.0		0.0		0.0
02:00		0.0		0.0		0.0
03:00		0.0		0.0		0.0
04:00		0.0		0.0		0.0
05:00		0.0		0.0		0.0
06:00		1.16		0.3		0.71
07:00		22.82		0.0		17.82
08:00		46.27		0.0		36.13
09:00		66.49		0.0		51.91
10:00		80.36		0.0		62.74
11:00		92.38		0.0		72.12
12:00		98.84		0.0		77.16
13:00		95.17		0.0		74.3
14:00		87.15		0.0		68.04
15:00		71.59		0.0		55.89
16:00		61.12		0.0		47.72
17:00		37.87		0.0		29.57
18:00		12.49		0.03		9.7
19:00		0.01		0.0		0.01
20:00		0.0		0.0		0.0
21:00		0.0		0.0		0.0
22:00		0.0		0.0		0.0
23:00		0.0		0.0		0.0

G(i):  Global irradiance on a fixed plane (W/m2)
Gb(i): Direct irradiance on a fixed plane (W/m2)
Gd(i): Diffuse irradiance on a fixed plane (W/m2)

PVGIS (c) European Union, 2001-2023
