Latitude (decimal degrees):	50.940
Longitude (decimal degrees):	6.956
Radiation database:	PVGIS-SARAH2

Results for:	August
Slope of plane (deg.):	90
Azimuth (orientation) of plane (deg.):	0
time(UTC+1)		G(i)		Gb(i)		Gd(i)
00:00		0.0		0.0		0.0
01:00		0.0		0.0		0.0
02:00		0.0		0.0		0.0
03:00		0.0		0.0		0.0
04:00		0.0		0.0		0.0
05:00		0.0		0.0		0.0
06:00		13.85		0.0		10.81
07:00		42.78		0.72		32.67
08:00		144.11		44.92		73.07
09:00		254.12		110.55		106.23
10:00		345.62		165.51		133.91
11:00		382.78		186.14		147.49
12:00		425.27		209.81		162.0
13:00		396.59		193.96		152.38
14:00		368.83		176.41		144.73
15:00		278.65		120.13		120.14
16:00		212.39		77.47		102.57
17:00		122.68		28.98		70.76
18:00		37.3		0.0		29.12
19:00		12.07		0.0		9.42
20:00		0.0		0.0		0.0
21:00		0.0		0.0		0.0
22:00		0.0		0.0		0.0
23:00		0.0		0.0		0.0

G(i):  Global irradiance on a fixed plane (W/m2)
Gb(i): Direct irradiance on a fixed plane (W/m2)
Gd(i): Diffuse irradiance on a fixed plane (W/m2)

PVGIS (c) European Union, 2001-2024
