Latitude (decimal degrees):	50.940
Longitude (decimal degrees):	6.956
Radiation database:	PVGIS-SARAH2

Results for:	November
Slope of plane (deg.):	90
Azimuth (orientation) of plane (deg.):	0
time(UTC+1)		G(i)		Gb(i)		Gd(i)
00:00		0.0		0.0		0.0
01:00		0.0		0.0		0.0
02:00		0.0		0.0		0.0
03:00		0.0		0.0		0.0
04:00		0.0		0.0		0.0
05:00		0.0		0.0		0.0
06:00		0.0		0.0		0.0
07:00		0.0		0.0		0.0
08:00		32.39		22.41		8.71
09:00		164.52		105.04		51.51
10:00		226.12		141.41		71.84
11:00		291.21		184.34		89.89
12:00		310.72		197.92		94.4
13:00		297.26		189.76		90.11
14:00		269.79		175.99		79.41
15:00		178.55		113.52		56.1
16:00		74.32		51.69		19.92
17:00		0.0		0.0		0.0
18:00		0.0		0.0		0.0
19:00		0.0		0.0		0.0
20:00		0.0		0.0		0.0
21:00		0.0		0.0		0.0
22:00		0.0		0.0		0.0
23:00		0.0		0.0		0.0

G(i):  Global irradiance on a fixed plane (W/m2)
Gb(i): Direct irradiance on a fixed plane (W/m2)
Gd(i): Diffuse irradiance on a fixed plane (W/m2)

PVGIS (c) European Union, 2001-2024
