STATIONS_ID;MESS_DATUM;QN_9;TT_TU;RF_TU;eor
       2667;2022062500;    3;  16.7;  89.0;eor
       2667;2022062501;    3;  16.6;  89.0;eor
       2667;2022062502;    3;  16.9;  86.0;eor
       2667;2022062503;    3;  16.1;  88.0;eor
       2667;2022062504;    3;  16.5;  86.0;eor
       2667;2022062505;    3;  16.1;  88.0;eor
       2667;2022062506;    3;  18.2;  81.0;eor
       2667;2022062507;    3;  20.0;  70.0;eor
       2667;2022062508;    3;  21.6;  63.0;eor
       2667;2022062509;    3;  22.1;  58.0;eor
       2667;2022062510;    3;  22.1;  59.0;eor
       2667;2022062511;    3;  23.1;  56.0;eor
       2667;2022062512;    3;  22.8;  58.0;eor
       2667;2022062513;    3;  24.3;  49.0;eor
       2667;2022062514;    3;  24.6;  47.0;eor
       2667;2022062515;    3;  25.8;  44.0;eor
       2667;2022062516;    3;  24.6;  52.0;eor
       2667;2022062517;    3;  25.1;  51.0;eor
       2667;2022062518;    3;  24.2;  58.0;eor
       2667;2022062519;    3;  23.4;  59.0;eor
       2667;2022062520;    3;  21.6;  67.0;eor
       2667;2022062521;    3;  21.2;  68.0;eor
       2667;2022062522;    3;  20.7;  69.0;eor
       2667;2022062523;    3;  20.1;  71.0;eor
       2667;2022062600;    3;  17.5;  92.0;eor
       2667;2022062601;    3;  16.6;  96.0;eor
       2667;2022062602;    3;  16.1;  98.0;eor
       2667;2022062603;    3;  15.8;  99.0;eor
       2667;2022062604;    3;  15.1;  99.0;eor
       2667;2022062605;    3;  16.6;  90.0;eor
       2667;2022062606;    3;  17.3;  85.0;eor
       2667;2022062607;    3;  17.3;  78.0;eor
       2667;2022062608;    3;  17.8;  74.0;eor
       2667;2022062609;    3;  18.4;  76.0;eor
       2667;2022062610;    3;  19.6;  63.0;eor
       2667;2022062611;    3;  20.5;  60.0;eor
       2667;2022062612;    3;  20.3;  64.0;eor
       2667;2022062613;    3;  19.6;  73.0;eor
       2667;2022062614;    3;  19.7;  75.0;eor
       2667;2022062615;    3;  19.0;  76.0;eor
       2667;2022062616;    3;  18.5;  82.0;eor
       2667;2022062617;    3;  18.0;  86.0;eor
       2667;2022062618;    3;  17.4;  82.0;eor
       2667;2022062619;    3;  16.9;  85.0;eor
       2667;2022062620;    3;  16.9;  85.0;eor
       2667;2022062621;    3;  16.0;  89.0;eor
       2667;2022062622;    3;  16.1;  90.0;eor
       2667;2022062623;    3;  15.1;  94.0;eor
       2667;2022062700;    3;  15.5;  94.0;eor
       2667;2022062701;    3;  15.4;  96.0;eor
       2667;2022062702;    3;  15.5;  96.0;eor
       2667;2022062703;    3;  15.6;  96.0;eor
       2667;2022062704;    3;  15.5;  98.0;eor
       2667;2022062705;    3;  15.7;  97.0;eor
       2667;2022062706;    3;  16.3;  94.0;eor
       2667;2022062707;    3;  17.1;  91.0;eor
       2667;2022062708;    3;  17.6;  89.0;eor
       2667;2022062709;    3;  17.7;  86.0;eor
       2667;2022062710;    3;  18.8;  81.0;eor
       2667;2022062711;    3;  18.9;  79.0;eor
       2667;2022062712;    3;  19.4;  75.0;eor
       2667;2022062713;    3;  20.0;  71.0;eor
       2667;2022062714;    3;  20.3;  67.0;eor
       2667;2022062715;    3;  21.2;  63.0;eor
       2667;2022062716;    3;  15.7;  92.0;eor
       2667;2022062717;    3;  15.6;  90.0;eor
       2667;2022062718;    3;  16.6;  84.0;eor
       2667;2022062719;    3;  17.4;  77.0;eor
       2667;2022062720;    3;  15.7;  87.0;eor
       2667;2022062721;    3;  13.5;  96.0;eor
       2667;2022062722;    3;  12.8;  98.0;eor
       2667;2022062723;    3;  11.1;  96.0;eor
       2667;2022062800;    3;  11.1;  98.0;eor
       2667;2022062801;    3;  10.6;  99.0;eor
       2667;2022062802;    3;  11.3;  98.0;eor
       2667;2022062803;    3;  10.4;  99.0;eor
       2667;2022062804;    3;  10.3;  99.0;eor
       2667;2022062805;    3;  11.3;  98.0;eor
       2667;2022062806;    3;  13.6;  91.0;eor
       2667;2022062807;    3;  15.3;  87.0;eor
       2667;2022062808;    3;  17.4;  70.0;eor
       2667;2022062809;    3;  19.3;  63.0;eor
       2667;2022062810;    3;  20.3;  52.0;eor
       2667;2022062811;    3;  21.5;  46.0;eor
       2667;2022062812;    3;  22.2;  42.0;eor
